Number,SnapId,Distance,Bad Matches,Total Matches,Confidence,FaceId,Top,Bottom,Left,Right,UserEstimate
6232,5c6e7bc83f499e45a1b92f86,0.1884162873029709,0,1,0.976044774055481,6794c688-ca82-44dc-a90b-aecb1f551480,243,402,419,578,undefined
6233,"5c6e7b823f499e45a1b92ef2, 'New', 'New', 'New'",0.8961688280105591,eb5d8303-e94f-4145-82a3-53113059d5a6,231,422,357,548,undefined,,,
6234,"5c6e79d13f499e45a1b92bad, 'New', 'New', 'New'",0.7672988176345825,fe7ab137-4308-43e1-a3b8-00d8f06154a7,259,419,402,561,undefined,,,
6235,5c6e79d13f499e45a1b92bad,0.18357466161251068,0,3,0.43163979053497314,28f4824c-c911-4898-9da8-d976a96f79a7,272,317,619,663,undefined
6236,"5c6e78da3f499e45a1b929eb, 'New', 'New', 'New'",1.0277758836746216,e66503eb-23e6-430b-95cb-8c5aa53b42dd,209,342,268,401,undefined,,,
6237,"5c6e78133f499e45a1b928d3, 'New', 'New', 'New'",0.3369460105895996,f853ef01-2900-4d00-8323-6e102a2f599b,154,345,125,316,undefined,,,
6238,"5c6e722e3f499e45a1b91e54, 'New', 'New', 'New'",0.9954687356948853,cae646a2-1c6b-451e-aa5a-23a189e71019,284,394,64,174,undefined,,,
6239,"5c6e70ad3f499e45a1b91b89, 'New', 'New', 'New'",0.5130112767219543,9c75af8d-9852-4051-b14f-51a62008a4f2,154,345,47,239,undefined,,,
6240,"5c6e68c43f499e45a1b90dac, 'New', 'New', 'New'",1.0291494131088257,db2b9513-1c96-49e9-bba8-dcf63aaa6a1a,317,449,214,347,undefined,,,
6241,"5c6e64e33f499e45a1b90776, 'New', 'New', 'New'",0.8626047372817993,9b80e97c-dacf-4490-a2bf-826496e5490e,328,439,344,454,undefined,,,
6242,5c6e64423f499e45a1b90680,0.15392646193504333,0,1,0.929131031036377,34c4bab5-ec31-4967-b705-e760436b944a,328,439,153,264,undefined
6243,5c6e630e3f499e45a1b9041d,0.16356423497200012,0,1,1.0299280881881714,e7c80133-a8de-4652-9cf0-a4a175158835,290,422,39,172,undefined
6244,"5c6e62613f499e45a1b902cf, 'New', 'New', 'New'",1.008833646774292,6d9cacce-ed20-47ea-bb3c-3c478002394b,261,371,30,141,undefined,,,
6245,"5c6e5c093f499e45a1b8f779, 'New', 'New', 'New'",0.9565207958221436,6a3f89c0-8b03-493e-b3c2-a091ff5a8ae4,115,307,164,355,undefined,,,
6246,5c6e5bd73f499e45a1b8f721,0.18187344074249268,0,2,0.6094324588775635,a62667f7-aee1-4c3a-9716-8118e02926df,5,234,75,304,undefined
6247,5c6e5bb33f499e45a1b8f706,0.16487744450569153,0,1,0.5841872096061707,9c5518a4-efdc-4a5b-b32b-baf76a651606,77,268,47,239,undefined
6248,5c6e5b933f499e45a1b8f685,0.15314503014087677,0,1,0.9387427568435669,a62667f7-aee1-4c3a-9716-8118e02926df,57,248,222,413,undefined
6249,"5c6e577e3f499e45a1b8eff1, 'New', 'New', 'New'",1.0082457065582275,0752cb21-9b5b-4fae-964d-ea0d552bad07,272,383,41,152,undefined,,,
6250,"5c6e56673f499e45a1b8ee06, 'New', 'New', 'New'",0.7462103962898254,e2717954-0b81-4a16-bda3-9c9f03dd9b86,195,354,177,336,undefined,,,
6251,"5c6e527e3f499e45a1b8e681, 'New', 'New', 'New'",0.2827429175376892,f4c0afcd-789a-4abb-98ab-39234a7303ee,330,463,254,387,undefined,,,
6252,"5c6e4de93f499e45a1b8df54, 'New', 'New', 'New'",0.7888156175613403,9e07f039-d451-4381-9090-03b09f0499bd,227,386,305,465,undefined,,,
6253,"5c6e4db33f499e45a1b8df23, 'New', 'New', 'New'",0.9947019815444946,86703a15-c3ed-41c2-bf12-48c8865a6a75,75,304,307,536,undefined,,,
6254,5c6e4d9c3f499e45a1b8deea,0.07489895820617676,0,1,1.0569665431976318,86703a15-c3ed-41c2-bf12-48c8865a6a75,98,257,209,368,undefined
6255,"5c6e4cf53f499e45a1b8de1e, 'New', 'New', 'New'",0.21775895357131958,4fff1574-38f8-41be-99fd-2d023c5694d9,270,461,164,355,undefined,,,
6256,"5c6e46db3f499e45a1b8d3f1, 'New', 'New', 'New'",0.9905591011047363,828ae723-6f1c-44b5-97dc-805961eb2263,243,402,177,336,undefined,,,
6257,5c6e42fc3f499e45a1b8ce75,0.1558879315853119,0,1,1.0296165943145752,8297aa6f-7cd3-4f75-9555-341c30a1b6c2,178,338,305,465,undefined
6258,"5c6d93ed39c0bb322db312d8, 'New', 'New', 'New'",0.8253302574157715,229e703a-e17f-4013-99f3-d57f405f2aaa,326,418,117,209,undefined,,,
6259,"5c6d93d439c0bb322db3128d, 'New', 'New', 'New'",1.0509876012802124,e2a62385-80e0-494e-84a9-4986dc5045e4,317,408,136,228,undefined,,,
6260,5c6d8b2239c0bb322db30566,0.16083134710788727,0,2,0.7187090516090393,bde45c72-49ca-4394-aad8-eaeb2e9e238a,251,442,164,355,undefined
6261,5c6d8af239c0bb322db304ad,0.182805597782135,0,1,0.8256666660308838,bde45c72-49ca-4394-aad8-eaeb2e9e238a,251,442,164,355,undefined
6262,5c6d886439c0bb322db30179,0.18821334838867188,0,1,1.0563489198684692,504abaed-b6b0-4cfe-ac76-50bddc7575e2,175,239,61,125,undefined
6263,"5c6d886439c0bb322db30179, 'New', 'New', 'New'",0.8747973442077637,686926aa-1951-42c1-bfb7-0cd8c676f64e,330,463,187,320,undefined,,,
6264,"5c6d7ef939c0bb322db2f4fe, 'New', 'New', 'New'",0.9542922973632812,b991fcdd-c6d9-4739-91f7-32e30c6d336c,191,420,144,374,undefined,,,
6265,5c6d7edd39c0bb322db2f4b5,0.12291214615106583,0,1,0.9765317440032959,b991fcdd-c6d9-4739-91f7-32e30c6d336c,168,397,98,327,undefined
6266,5c6d734e39c0bb322db2e513,0.17153847217559814,0,2,0.47997260093688965,76f66f03-9b4e-48c6-8e83-9d3fdde89a24,330,463,241,374,undefined
6267,5c6d70f739c0bb322db2e134,0.1842348873615265,0,1,0.9230917692184448,fcdef0b3-17e8-453d-a1c5-ffafd391e4f2,33,192,160,320,undefined
6268,"5c6d70d339c0bb322db2e113, 'New', 'New', 'New'",0.9798591136932373,844a3643-95ed-4f5e-892d-420e169c8d49,130,289,96,255,undefined,,,
